Date,Product_Name,Category,Location,Unit_Price_NGN,Qty_Sold,Daily_Total_NGN,Competitor_Price,Price_Gap_Pct,Delivery_Status
2025-01-17,Local Rice (50kg),Grains,Enugu,120000,18,2160000,105000,14.3,On-Time
2025-01-18,Kings Oil 5L,Oils,Ibadan,27000,30,810000,21500,25.6,Critical Delay
2025-01-18,Milo Refill 500g,Beverages,Lagos (Lekki),7200,4,28800,6000,20,Delayed
2025-01-18,Power Oil (Sachet),Oils,Port Harcourt,500,6,3000,400,25,Critical Delay
2025-01-18,Power Oil (Sachet),Oils,Enugu,500,6,3000,400,25,On-Time
2025-01-19,Kings Oil 5L,Oils,Lagos (Lekki),27000,8,216000,21500,25.6,Delayed
2025-01-19,Yam Tuber (Large),Produce,Lagos (Ikeja),12000,23,276000,8000,50,On-Time
2025-01-19,Semovita 10kg,Swallow,Enugu,10500,24,252000,9200,14.1,Critical Delay
2025-01-19,Indomie Super Pack,Noodles,Ibadan,20000,3,60000,16800,19,Delayed
2025-01-20,Yellow Garri (Paint),Tubers,Enugu,5500,24,132000,4200,31,On-Time
2025-01-20,Yellow Garri (Paint),Tubers,Enugu,5000,8,40000,4200,19,Delayed
2025-01-20,Frozen Turkey (kg),Meat,Ibadan,11000,7,77000,8800,25,Delayed
2025-01-20,Beans Brown (Oloyin),Grains,Ibadan,4500,15,67500,3200,40.6,Critical Delay
2025-01-21,Yellow Garri (Paint),Tubers,Enugu,5500,19,104500,4200,31,Critical Delay
2025-01-21,Power Oil (Sachet),Oils,Port Harcourt,500,1,500,400,25,Critical Delay
2025-01-21,Indomie Super Pack,Noodles,Kano,20000,29,580000,16800,19,Delayed
2025-01-21,Kings Oil 5L,Oils,Ibadan,27000,22,594000,21500,25.6,Delayed
2025-01-22,Kings Oil 5L,Oils,Lagos (Ikeja),27000,-2,0,21500,25.6,Critical Delay
2025-01-22,Beans Brown (Oloyin),Grains,Lagos (Ikeja),4500,8,36000,3200,40.6,Delayed
2025-01-22,Yellow Garri (Paint),Tubers,Port Harcourt,5000,22,110000,4200,19,On-Time
2025-01-22,Frozen Turkey (kg),Meat,Abuja,11000,26,286000,8800,25,Delayed
2025-01-23,Local Rice (50kg),Grains,Port Harcourt,120000,2,240000,105000,14.3,Delayed
2025-01-23,Semovita 10kg,Swallow,Abuja,10500,17,178500,9200,14.1,Critical Delay
2025-01-23,Milo Refill 500g,Beverages,Lagos (Ikeja),6700,5,33500,6000,11.7,On-Time
2025-01-23,Semovita 10kg,Swallow,Ibadan,10500,27,283500,9200,14.1,Delayed
2025-01-24,Milo Refill 500g,Beverages,Lagos (Lekki),7200,18,129600,6000,20,Critical Delay
2025-01-24,Milo Refill 500g,Beverages,Lagos (Lekki),7200,14,100800,6000,20,Delayed
2025-01-24,Peak Milk 400g,Dairy,Port Harcourt,5800,24,139200,4900,18.4,Critical Delay
2025-01-24,Power Oil (Sachet),Oils,Lagos (Lekki),500,1,500,400,25,Critical Delay
2025-01-25,Indomie Super Pack,Noodles,Enugu,20000,5,100000,16800,19,Delayed
2025-01-25,Local Rice (50kg),Grains,Kano,120000,23,2760000,105000,14.3,On-Time
2025-01-25,Milo Refill 500g,Beverages,Lagos (Ikeja),7200,10,72000,6000,20,Delayed
2025-01-25,Milo Refill 500g,Beverages,Ibadan,7200,30,216000,6000,20,Critical Delay
2025-01-26,Semovita 10kg,Swallow,Lagos (Ikeja),10500,2,21000,9200,14.1,Delayed
2025-01-26,Dangote Sugar 1kg,Sweeteners,Enugu,4000,27,108000,3200,25,Critical Delay
2025-01-26,Indomie Super Pack,Noodles,Ibadan,20000,10,200000,16800,19,Delayed
2025-01-26,Beans Brown (Oloyin),Grains,Ibadan,4500,16,72000,3200,40.6,Critical Delay
2025-01-27,Dangote Sugar 1kg,Sweeteners,Ibadan,4000,26,104000,3200,25,Delayed
2025-01-27,Semovita 10kg,Swallow,Abuja,10000,22,220000,9200,8.7,Critical Delay
2025-01-27,Power Oil (Sachet),Oils,Enugu,500,10,5000,400,25,Critical Delay
2025-01-27,Milo Refill 500g,Beverages,Lagos (Ikeja),7200,0,0,6000,20,Delayed
2025-01-28,Frozen Turkey (kg),Meat,Kano,11000,8,88000,8800,25,Critical Delay
2025-01-28,Kings Oil 5L,Oils,Port Harcourt,27000,7,189000,21500,25.6,On-Time
2025-01-28,Milo Refill 500g,Beverages,Lagos (Lekki),7200,1,7200,6000,20,On-Time
2025-01-28,Yam Tuber (Large),Produce,Abuja,12000,8,96000,8000,50,Critical Delay
2025-01-29,Yellow Garri (Paint),Tubers,Lagos (Lekki),5500,26,143000,4200,31,On-Time
2025-01-29,Local Rice (50kg),Grains,Abuja,119500,25,2987500,105000,13.8,On-Time
2025-01-29,Beans Brown (Oloyin),Grains,Abuja,4500,2,9000,3200,40.6,Critical Delay
2025-01-29,Frozen Turkey (kg),Meat,Abuja,11000,13,143000,8800,25,Critical Delay
2025-01-30,Milo Refill 500g,Beverages,Enugu,7200,11,79200,6000,20,Critical Delay
2025-01-30,Power Oil (Sachet),Oils,Abuja,500,15,7500,400,25,Critical Delay
2025-01-30,Local Rice (50kg),Grains,Enugu,120000,0,0,105000,14.3,On-Time
2025-01-30,Yellow Garri (Paint),Tubers,Lagos (Lekki),5500,10,55000,4200,31,Delayed
2025-01-31,Power Oil (Sachet),Oils,Kano,500,29,14500,400,25,On-Time
2025-01-31,Local Rice (50kg),Grains,Abuja,120000,24,2880000,105000,14.3,Delayed
2025-01-31,Frozen Turkey (kg),Meat,Lagos (Ikeja),11000,-1,0,8800,25,Critical Delay
2025-01-31,Kings Oil 5L,Oils,Port Harcourt,27000,30,810000,21500,25.6,On-Time
2025-02-01,Frozen Turkey (kg),Meat,Kano,11000,21,231000,8800,25,Delayed
2025-01-02,Power Oil (Sachet),Oils,Lagos (Lekki),500,-2,0,400,25,Critical Delay
2025-02-01,Yellow Garri (Paint),Tubers,Ibadan,5500,8,44000,4200,31,Delayed
2025-01-02,Frozen Turkey (kg),Meat,Kano,11000,6,66000,8800,25,Critical Delay
2025-02-02,Dangote Sugar 1kg,Sweeteners,Lagos (Ikeja),4000,27,108000,3200,25,Delayed
2025-02-02,Peak Milk 400g,Dairy,Lagos (Lekki),5800,6,34800,4900,18.4,On-Time
2025-02-02,Indomie Super Pack,Noodles,Lagos (Ikeja),20000,17,340000,16800,19,On-Time
2025-02-02,Beans Brown (Oloyin),Grains,Port Harcourt,4500,28,126000,3200,40.6,Delayed
2025-02-03,Yellow Garri (Paint),Tubers,Kano,5500,16,88000,4200,31,Critical Delay
2025-02-03,Beans Brown (Oloyin),Grains,Enugu,4500,4,18000,3200,40.6,Critical Delay
2025-02-03,Dangote Sugar 1kg,Sweeteners,Lagos (Lekki),4000,11,44000,3200,25,Critical Delay
2025-03-02,Peak Milk 400g,Dairy,Lagos (Ikeja),5800,30,174000,4900,18.4,On-Time
2025-02-04,Local Rice (50kg),Grains,Lagos (Lekki),120000,6,720000,105000,14.3,Delayed
2025-02-04,Kings Oil 5L,Oils,Enugu,27000,15,405000,21500,25.6,Delayed
2025-04-02,Power Oil (Sachet),Oils,Enugu,500,11,5500,400,25,On-Time
2025-02-04,Semovita 10kg,Swallow,Ibadan,10500,-1,0,9200,14.1,Delayed
2025-02-05,Yellow Garri (Paint),Tubers,Enugu,5500,0,0,4200,31,On-Time
2025-02-05,Yam Tuber (Large),Produce,Enugu,12000,-2,0,8000,50,On-Time
2025-02-05,Yellow Garri (Paint),Tubers,Port Harcourt,5500,15,82500,4200,31,Delayed
2025-02-05,Peak Milk 400g,Dairy,Enugu,5800,-1,0,4900,18.4,On-Time
2025-06-02,Dangote Sugar 1kg,Sweeteners,Ibadan,4000,23,92000,3200,25,On-Time
2025-06-02,Beans Brown (Oloyin),Grains,Abuja,4000,-2,0,3200,25,Critical Delay
2025-02-06,Semovita 10kg,Swallow,Enugu,10500,10,105000,9200,14.1,Critical Delay
2025-06-02,Kings Oil 5L,Oils,Enugu,27000,9,243000,21500,25.6,On-Time
2025-07-02,Indomie Super Pack,Noodles,Lagos (Ikeja),20000,27,540000,16800,19,Critical Delay
2025-02-07,Dangote Sugar 1kg,Sweeteners,Ibadan,4000,0,0,3200,25,Delayed
2025-02-07,Dangote Sugar 1kg,Sweeteners,Kano,3500,29,101500,3200,9.4,On-Time
2025-07-02,Milo Refill 500g,Beverages,Port Harcourt,7200,22,158400,6000,20,Critical Delay
2025-08-02,Yellow Garri (Paint),Tubers,Lagos (Ikeja),5500,3,16500,4200,31,Critical Delay
2025-02-08,Milo Refill 500g,Beverages,Lagos (Ikeja),7200,25,180000,6000,20,On-Time
2025-08-02,Local Rice (50kg),Grains,Enugu,120000,9,1080000,105000,14.3,Delayed
2025-08-02,Indomie Super Pack,Noodles,Enugu,20000,0,0,16800,19,Delayed
2025-09-02,Power Oil (Sachet),Oils,Lagos (Ikeja),500,27,13500,400,25,Critical Delay
2025-02-09,Milo Refill 500g,Beverages,Enugu,7200,23,165600,6000,20,On-Time
2025-02-09,Local Rice (50kg),Grains,Lagos (Ikeja),120000,25,3000000,105000,14.3,Critical Delay
2025-09-02,Semovita 10kg,Swallow,Enugu,10500,7,73500,9200,14.1,On-Time
2025-10-02,Semovita 10kg,Swallow,Port Harcourt,10500,13,136500,9200,14.1,Delayed
2025-02-10,Yam Tuber (Large),Produce,Ibadan,12000,10,120000,8000,50,On-Time
2025-02-10,Yam Tuber (Large),Produce,Enugu,12000,23,276000,8000,50,On-Time
2025-10-02,Kings Oil 5L,Oils,Port Harcourt,27000,12,324000,21500,25.6,Delayed
2025-11-02,Milo Refill 500g,Beverages,Kano,7200,3,21600,6000,20,Critical Delay
2025-02-11,Semovita 10kg,Swallow,Enugu,10500,5,52500,9200,14.1,Delayed
2025-11-02,Local Rice (50kg),Grains,Abuja,120000,26,3120000,105000,14.3,On-Time
2025-11-02,Local Rice (50kg),Grains,Lagos (Ikeja),120000,24,2880000,105000,14.3,Critical Delay
2025-02-12,Indomie Super Pack,Noodles,Lagos (Lekki),20000,22,440000,16800,19,On-Time
2025-12-02,Local Rice (50kg),Grains,Kano,120000,30,3600000,105000,14.3,Critical Delay
2025-02-12,Yellow Garri (Paint),Tubers,Ibadan,5500,24,132000,4200,31,On-Time
2025-02-12,Yellow Garri (Paint),Tubers,Ibadan,5500,13,71500,4200,31,Critical Delay
2025-02-13,Local Rice (50kg),Grains,Lagos (Lekki),120000,16,1920000,105000,14.3,On-Time
2025-02-13,Yam Tuber (Large),Produce,Abuja,12000,23,276000,8000,50,Critical Delay
2025-02-13,Yellow Garri (Paint),Tubers,Kano,5500,17,93500,4200,31,Critical Delay
2025-02-13,Milo Refill 500g,Beverages,Kano,7200,11,79200,6000,20,Delayed
2025-02-14,Beans Brown (Oloyin),Grains,Port Harcourt,4500,23,103500,3200,40.6,Delayed
2025-02-14,Beans Brown (Oloyin),Grains,Lagos (Ikeja),4500,-2,0,3200,40.6,Critical Delay
2025-02-14,Peak Milk 400g,Dairy,Enugu,5800,1,5800,4900,18.4,Delayed
2025-02-14,Milo Refill 500g,Beverages,Enugu,7200,10,72000,6000,20,Delayed
2025-02-15,Indomie Super Pack,Noodles,Port Harcourt,20000,12,240000,16800,19,Critical Delay
2025-02-15,Indomie Super Pack,Noodles,Enugu,20000,13,260000,16800,19,Delayed
2025-02-15,Dangote Sugar 1kg,Sweeteners,Enugu,4000,30,120000,3200,25,Critical Delay
2025-02-15,Power Oil (Sachet),Oils,Lagos (Lekki),500,6,3000,400,25,On-Time
2025-02-16,Semovita 10kg,Swallow,Port Harcourt,10500,7,73500,9200,14.1,On-Time
2025-02-16,Peak Milk 400g,Dairy,Abuja,5800,9,52200,4900,18.4,Critical Delay
2025-02-16,Beans Brown (Oloyin),Grains,Enugu,4500,13,58500,3200,40.6,On-Time
2025-02-16,Kings Oil 5L,Oils,Enugu,27000,3,81000,21500,25.6,Critical Delay
2025-02-17,Yam Tuber (Large),Produce,Ibadan,12000,7,84000,8000,50,On-Time
2025-02-17,Kings Oil 5L,Oils,Abuja,27000,30,810000,21500,25.6,Critical Delay
2025-02-17,Semovita 10kg,Swallow,Port Harcourt,10500,20,210000,9200,14.1,On-Time
2025-02-17,Milo Refill 500g,Beverages,Kano,6700,15,100500,6000,11.7,Delayed
2025-02-18,Beans Brown (Oloyin),Grains,Enugu,4500,19,85500,3200,40.6,Delayed
2025-02-18,Frozen Turkey (kg),Meat,Lagos (Ikeja),11000,20,220000,8800,25,On-Time
2025-02-18,Indomie Super Pack,Noodles,Abuja,20000,14,280000,16800,19,Critical Delay
2025-02-18,Indomie Super Pack,Noodles,Lagos (Ikeja),20000,11,220000,16800,19,On-Time
2025-02-19,Kings Oil 5L,Oils,Abuja,27000,23,621000,21500,25.6,Critical Delay
2025-02-19,Power Oil (Sachet),Oils,Lagos (Ikeja),500,14,7000,400,25,Delayed
2025-02-19,Power Oil (Sachet),Oils,Abuja,500,5,2500,400,25,On-Time
2025-02-19,Peak Milk 400g,Dairy,Kano,5800,28,162400,4900,18.4,Delayed
2025-02-20,Beans Brown (Oloyin),Grains,Lagos (Ikeja),4500,25,112500,3200,40.6,On-Time
2025-02-20,Power Oil (Sachet),Oils,Abuja,500,8,4000,400,25,On-Time
2025-02-20,Beans Brown (Oloyin),Grains,Port Harcourt,4500,18,81000,3200,40.6,On-Time
2025-02-20,Indomie Super Pack,Noodles,Ibadan,20000,9,180000,16800,19,Delayed
2025-02-21,Frozen Turkey (kg),Meat,Ibadan,11000,22,242000,8800,25,Delayed
2025-02-21,Kings Oil 5L,Oils,Abuja,27000,2,54000,21500,25.6,Critical Delay
2025-02-21,Semovita 10kg,Swallow,Kano,10500,-1,0,9200,14.1,Delayed
2025-02-21,Indomie Super Pack,Noodles,Port Harcourt,20000,11,220000,16800,19,Delayed
2025-02-22,Kings Oil 5L,Oils,Enugu,27000,24,648000,21500,25.6,On-Time
2025-02-22,Frozen Turkey (kg),Meat,Abuja,11000,9,99000,8800,25,On-Time
2025-02-22,Dangote Sugar 1kg,Sweeteners,Ibadan,4000,18,72000,3200,25,On-Time
2025-02-22,Power Oil (Sachet),Oils,Abuja,500,16,8000,400,25,Critical Delay
2025-02-23,Frozen Turkey (kg),Meat,Enugu,11000,20,220000,8800,25,Critical Delay
2025-02-23,Kings Oil 5L,Oils,Ibadan,27000,18,486000,21500,25.6,On-Time
2025-02-23,Dangote Sugar 1kg,Sweeteners,Kano,4000,19,76000,3200,25,On-Time
2025-02-23,Yam Tuber (Large),Produce,Abuja,12000,7,84000,8000,50,Critical Delay
2025-02-24,Local Rice (50kg),Grains,Port Harcourt,120000,11,1320000,105000,14.3,Critical Delay
2025-02-24,Indomie Super Pack,Noodles,Enugu,20000,10,200000,16800,19,Critical Delay
2025-02-24,Kings Oil 5L,Oils,Kano,27000,25,675000,21500,25.6,On-Time
2025-02-24,Peak Milk 400g,Dairy,Lagos (Lekki),5800,20,116000,4900,18.4,On-Time
2025-02-25,Local Rice (50kg),Grains,Lagos (Lekki),120000,6,720000,105000,14.3,Delayed
2025-02-25,Peak Milk 400g,Dairy,Enugu,5800,19,110200,4900,18.4,On-Time
2025-02-25,Yam Tuber (Large),Produce,Enugu,12000,6,72000,8000,50,Critical Delay
2025-02-25,Peak Milk 400g,Dairy,Ibadan,5800,1,5800,4900,18.4,On-Time
2025-02-26,Semovita 10kg,Swallow,Enugu,10500,7,73500,9200,14.1,Critical Delay
2025-02-26,Beans Brown (Oloyin),Grains,Port Harcourt,4000,1,4000,3200,25,Delayed
2025-02-26,Milo Refill 500g,Beverages,Abuja,7200,24,172800,6000,20,On-Time
2025-02-26,Peak Milk 400g,Dairy,Ibadan,5800,-1,0,4900,18.4,On-Time
2025-02-27,Semovita 10kg,Swallow,Ibadan,10500,8,84000,9200,14.1,Delayed
2025-02-27,Kings Oil 5L,Oils,Enugu,27000,18,486000,21500,25.6,Delayed
2025-02-27,Local Rice (50kg),Grains,Enugu,120000,21,2520000,105000,14.3,Delayed
2025-02-27,Yam Tuber (Large),Produce,Abuja,12000,9,108000,8000,50,On-Time
2025-02-28,Semovita 10kg,Swallow,Lagos (Ikeja),10500,28,294000,9200,14.1,Delayed
2025-02-28,Power Oil (Sachet),Oils,Lagos (Lekki),500,18,9000,400,25,On-Time
2025-02-28,Frozen Turkey (kg),Meat,Lagos (Ikeja),11000,22,242000,8800,25,Delayed
2025-02-28,Power Oil (Sachet),Oils,Port Harcourt,500,6,3000,400,25,Delayed
2025-03-01,Indomie Super Pack,Noodles,Port Harcourt,20000,25,500000,16800,19,On-Time
2025-03-01,Indomie Super Pack,Noodles,Ibadan,20000,25,500000,16800,19,On-Time
2025-03-01,Local Rice (50kg),Grains,Lagos (Lekki),120000,1,120000,105000,14.3,Critical Delay
2025-01-03,Yellow Garri (Paint),Tubers,Lagos (Ikeja),5500,-2,0,4200,31,Delayed
2025-02-03,Power Oil (Sachet),Oils,Ibadan,500,18,9000,400,25,Delayed
2025-02-03,Beans Brown (Oloyin),Grains,Ibadan,4500,24,108000,3200,40.6,Critical Delay
2025-02-03,Milo Refill 500g,Beverages,Kano,7200,26,187200,6000,20,On-Time
2025-02-03,Power Oil (Sachet),Oils,Abuja,500,7,3500,400,25,On-Time
2025-03-03,Frozen Turkey (kg),Meat,Ibadan,11000,9,99000,8800,25,Critical Delay
2025-03-03,Yellow Garri (Paint),Tubers,Lagos (Ikeja),5500,6,33000,4200,31,Critical Delay
2025-03-03,Peak Milk 400g,Dairy,Abuja,5800,8,46400,4900,18.4,Critical Delay
2025-03-03,Peak Milk 400g,Dairy,Kano,5800,16,92800,4900,18.4,On-Time
2025-03-04,Power Oil (Sachet),Oils,Port Harcourt,500,19,9500,400,25,Delayed
2025-04-03,Kings Oil 5L,Oils,Lagos (Ikeja),27000,1,27000,21500,25.6,Critical Delay
2025-03-04,Frozen Turkey (kg),Meat,Ibadan,11000,12,132000,8800,25,Delayed
2025-03-04,Yellow Garri (Paint),Tubers,Port Harcourt,5500,1,5500,4200,31,Critical Delay
2025-03-05,Semovita 10kg,Swallow,Lagos (Lekki),10500,29,304500,9200,14.1,On-Time
2025-05-03,Milo Refill 500g,Beverages,Enugu,7200,30,216000,6000,20,Delayed
2025-05-03,Milo Refill 500g,Beverages,Lagos (Ikeja),6700,17,113900,6000,11.7,On-Time
2025-03-05,Power Oil (Sachet),Oils,Lagos (Lekki),500,19,9500,400,25,On-Time
2025-06-03,Dangote Sugar 1kg,Sweeteners,Enugu,4000,7,28000,3200,25,Critical Delay
2025-03-06,Yam Tuber (Large),Produce,Lagos (Ikeja),12000,10,120000,8000,50,Critical Delay
2025-03-06,Local Rice (50kg),Grains,Lagos (Ikeja),120000,18,2160000,105000,14.3,On-Time
2025-03-06,Indomie Super Pack,Noodles,Lagos (Lekki),20000,4,80000,16800,19,On-Time
2025-07-03,Beans Brown (Oloyin),Grains,Enugu,4500,13,58500,3200,40.6,Delayed
2025-07-03,Beans Brown (Oloyin),Grains,Lagos (Lekki),4500,0,0,3200,40.6,Critical Delay
2025-03-07,Kings Oil 5L,Oils,Lagos (Ikeja),27000,21,567000,21500,25.6,On-Time
2025-03-07,Local Rice (50kg),Grains,Lagos (Ikeja),120000,16,1920000,105000,14.3,Critical Delay
2025-08-03,Beans Brown (Oloyin),Grains,Abuja,4500,19,85500,3200,40.6,Delayed
2025-03-08,Peak Milk 400g,Dairy,Enugu,5800,2,11600,4900,18.4,Delayed
2025-03-08,Local Rice (50kg),Grains,Lagos (Ikeja),120000,30,3600000,105000,14.3,Delayed
2025-08-03,Local Rice (50kg),Grains,Port Harcourt,120000,22,2640000,105000,14.3,On-Time
2025-09-03,Frozen Turkey (kg),Meat,Kano,11000,6,66000,8800,25,On-Time
2025-03-09,Yam Tuber (Large),Produce,Kano,12000,30,360000,8000,50,On-Time
2025-03-09,Beans Brown (Oloyin),Grains,Abuja,4500,15,67500,3200,40.6,Critical Delay
2025-03-09,Beans Brown (Oloyin),Grains,Kano,4500,27,121500,3200,40.6,On-Time
2025-10-03,Frozen Turkey (kg),Meat,Enugu,11000,14,154000,8800,25,On-Time
2025-03-10,Dangote Sugar 1kg,Sweeteners,Kano,4000,11,44000,3200,25,Critical Delay
2025-03-10,Peak Milk 400g,Dairy,Ibadan,5800,-1,0,4900,18.4,Critical Delay
2025-03-10,Peak Milk 400g,Dairy,Lagos (Ikeja),5800,18,104400,4900,18.4,On-Time
2025-03-11,Beans Brown (Oloyin),Grains,Ibadan,4500,6,27000,3200,40.6,On-Time
2025-03-11,Kings Oil 5L,Oils,Lagos (Ikeja),27000,17,459000,21500,25.6,Critical Delay
2025-11-03,Semovita 10kg,Swallow,Lagos (Lekki),10500,27,283500,9200,14.1,Critical Delay
2025-11-03,Power Oil (Sachet),Oils,Kano,500,13,6500,400,25,On-Time
2025-12-03,Peak Milk 400g,Dairy,Kano,5800,2,11600,4900,18.4,Delayed
2025-03-12,Peak Milk 400g,Dairy,Ibadan,5800,15,87000,4900,18.4,Delayed
2025-12-03,Peak Milk 400g,Dairy,Lagos (Ikeja),5800,8,46400,4900,18.4,Critical Delay
2025-03-12,Dangote Sugar 1kg,Sweeteners,Lagos (Ikeja),4000,15,60000,3200,25,Critical Delay
